=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.12.10 05:59:55 =~=~=~=~=~=~=~=~=~=~=~=
1hm
ms -> 997ms, 1000ms -> 1000ms, 54.82 LDR mV | 8.29 lx | 995.58 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
ms -> 997ms, 1000ms -> 1000ms, 54.82 LDR mV | 8.29 lx | 995.58 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
SAP::STATUS {
  STATUS::OK == 0
  STATUS::BAD_WIRING_I2C_BME280 == 1
  STATUS::BAD_ILLUMINANCE == 2
};
--> sap.status: 0 <--
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 3.92 LDR mV | 1.67 lx | 995.62 hPa | 20.36 °C | 70.97 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.75 hPa | 20.48 °C | 74.19 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.78 hPa | 20.58 °C | 75.27 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.81 hPa | 20.69 °C | 76.34 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.71 hPa | 20.78 °C | 77.42 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.79 hPa | 20.86 °C | 79.57 RH % | 7.00 CO vout raw | 1464276.62 CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 7.83 LDR mV | 2.36 lx | 995.76 hPa | 20.96 °C | 82.80 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 7.83 LDR mV | 2.36 lx | 995.82 hPa | 21.05 °C | 83.87 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.67 hPa | 21.15 °C | 84.95 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.82 hPa | 21.22 °C | 87.10 RH % | 1.00 CO vout raw | 10310407.00 CO rs ohm
